Country,Year,Maize_Tons,Rice_Tons,Yam_Tons,Chicken_Tons
Kyrgyzstan,2021,691139,578233.9375,401684.90625,3175853
Land Locked Developing Countries (FAO),2021,45806624,17960,401684.90625,2237000
Laos,2021,1050000,45000,176210.203125,96000
Latvia,2021,0,75000,4070733,122411.0390625
Least Developed Countries (FAO),2021,59506268,13317400,225341,147770
Lebanon,2021,3000,2464310,312642.0625,541292
Lesotho,2021,90000,56257352,317973.1875,1068500
Libya,2021,3452.030029296875,0,22651400,125192
Lithuania,2021,104680,89000,2928.845947265625,1391220
Low Income Food Deficit Countries (FAO),2021,100686824,29320,2436458.25,50000
Low-income countries,2021,34322900,504000,20514.19921875,263560.5
Lower-middle-income countries,2021,182473248,7940111,91012.6796875,89450
Luxembourg,2021,460,10873027,149674.3125,187
Madagascar,2021,232026,1527000,393040.1875,7284
Malawi,2021,4581000,2311843,172764.515625,6200
Malaysia,2021,74718.6484375,4054142,28906374,1556741.875
Maldives,2021,143.75,163787,213016,24000
Mali,2021,3603000,163787,5309.60009765625,494128
Malta,2021,0,237385,3237.60009765625,597949
Mauritania,2021,12000,2248000,294988.78125,58000
Mauritius,2021,1106,150926,2162447.25,1080
Melanesia,2021,22393.30078125,1500,285750.4375,4280
Mexico,2021,27503478,18170,401684.90625,53300
Micronesia (FAO),2021,91.80999755859375,80921,113800,126668.53125
Micronesia (country),2021,91.80999755859375,286195,157764.59375,96620
Middle Africa (FAO),2021,7827136,4444656,13740,7762718
Moldova,2021,2792700,8554824,118607.0546875,474021.59375
Montenegro,2021,2584.030029296875,18967826,57105.26953125,789921.3125
Morocco,2021,48637.30078125,170216,74358.0625,8401090
Mozambique,2021,2100000,0,74358.0625,2108.699951171875
Myanmar,2021,2300000,70200,23408322,15600
Namibia,2021,91869,1141818.875,116384.796875,9280
Nepal,2021,2997733,12,175316,142000
Net Food Importing Developing Countries (FAO),2021,87916288,0,5808392.5,13840
Netherlands,2021,171420,123519,9654.5859375,3756
New Caledonia,2021,7417,328310,7297.97216796875,1800
New Zealand,2021,209281,1614412,24874800,4000
Nicaragua,2021,375726,925,121420.3359375,20825
Niger,2021,5681,2000,2620,15557
Nigeria,2021,12745000,2900,1339345,1441905
North America,2021,430073792,22054572,115200,455.510009765625
North Korea,2021,2300000,22054572,411920.59375,18472
North Macedonia,2021,134036,4442000,51105,63139.80078125
Northern Africa (FAO),2021,7593944.5,24555,284022.25,360
Northern America (FAO),2021,397926848,188624496,114200,2801.409912109375
Northern Europe (FAO),2021,164850,3000,1209.1639404296875,95000
Oceania,2021,537422,186025904,136.44599914550781,27000
Oceania (FAO),2021,537422,2611745.25,36108.80078125,68632
Oman,2021,15545,410500,2549.39990234375,176
Pakistan,2021,10634831,1375959,246952.203125,1.6000000238418579
Panama,2021,135425,34133.328125,930110.125,3500
Papua New Guinea,2021,12622.33984375,113328,5385.60009765625,405521
Paraguay,2021,4088093,2100,115.44200134277344,83300
Peru,2021,1582135,2964828,2436589.5,130
Philippines,2021,8300322,20722,1827.4000244140625,5260
Poland,2021,7321910,806800,504458,2000
Portugal,2021,752490,22331638,4469.06787109375,3760
Puerto Rico,2021,24.020000457763672,76515,86763.3984375,30000
Qatar,2021,2809,10179,101799.1640625,168000
Romania,2021,14820690,830000,13163.2001953125,6314210
Russia,2021,15239865,130000,13789.2001953125,21388082
Rwanda,2021,482682,22000,1160150.25,31900
Saint Lucia,2021,0,80400,42888.6015625,131959
Saint Vincent and the Grenadines,2021,801.780029296875,10539760,7409.60009765625,3898297
Sao Tome and Principe,2021,598.42999267578125,235003424,2091917.125,601082
Saudi Arabia,2021,59000,1262600,5925195.5,5332
Senegal,2021,754620.8125,296552,1854.4000244140625,117856.390625
Serbia,2021,6027130.5,495000,8840,387376.3125
Sierra Leone,2021,22544.650390625,36148900,55998.19921875,688538.125
Slovakia,2021,1579120,2161884,913500,360
Slovenia,2021,388830,6823990,6609.60009765625,4000
Small Island Developing States (FAO),2021,719569.0625,626640,10424.1943359375,387000
Somalia,2021,75000,105227,204693.796875,5100
South Africa,2021,16870704,571049536,211839.65625,1296
South America,2021,162282560,2925,158257.203125,6093.7998046875
South America (FAO),2021,162282560,333,2066.162109375,39386
South Korea,2021,78000,64616.80078125,18155,87928
South Sudan,2021,175454,2017100,18620,130677
South-eastern Asia (FAO),2021,42457480,284838.1875,82442.796875,238800
Southern Africa (FAO),2021,17220010,91253816,49563.8046875,1032
Southern Asia (FAO),2021,50402696,468919.375,121438.671875,107000
Southern Europe (FAO),2021,22855146,169778.921875,18319.51953125,17184
Spain,2021,4597660,3659279.75,713182.0625,400
Sri Lanka,2021,472443.90625,195768.59375,1396.2659912109375,3670
Sudan,2021,23363.990234375,1943252.875,8796.7998046875,5400
Suriname,2021,27,1635053,10616789,360
Sweden,2021,14900,760590,31480576,279
Switzerland,2021,98216,3492176,64351.6015625,100.80000305175781
Syria,2021,309841.40625,321969.59375,18480,168
Taiwan,2021,210124,3465623,12850,105
Tajikistan,2021,240000,2803223.25,13800,425
Tanzania,2021,7039000,59015604,664927.1875,368
Thailand,2021,5300000,54215016,230298.65625,416
Togo,2021,929000,23512916,253723,328000
Trinidad and Tobago,2021,5000,3084765.5,5610.2939453125,16250
Turkey,2021,6750000,187067744,2853.60009765625,55
Turkmenistan,2021,7699.22021484375,166748.4375,13827821,960
Uganda,2021,2800000,38735,21024188,25400
Ukraine,2021,42109848,38735,21024188,80000
United Arab Emirates,2021,23638.73046875,824122,356308.03125,60000
United States,2021,383943008,55132284,118800,361499
Upper-middle-income countries,2021,536570464,42581340,163695.609375,140
Uruguay,2021,769600,9918426,107296.796875,3200
Uzbekistan,2021,590016,2116125.25,159413.71875,3600
Vanuatu,2021,915.96002197265625,1927233.125,44207.27734375,1488662
Venezuela,2021,1541647.875,243813.40625,529110.25,18293614
Vietnam,2021,4446383,1990322.375,71048696,18293614
Western Africa (FAO),2021,27088742,316813248,249818.859375,626000
Western Asia (FAO),2021,8197539.5,437065,2135.384033203125,4422985
Western Europe (FAO),2021,22975586,118330.203125,275510.84375,944655.5625
World,2021,1210235136,36843768,177629.515625,2617038.25
Yemen,2021,35000,32918604,187206.609375,2458136
Zambia,2021,3620244,3517270.75,7352.4599609375,16400
Zimbabwe,2021,1469664,7575900,1153262.75,8000
